date,segment,user_uid,Body Map Soreness,Body Map Pain,Sleep_Duration_h,Meals,Snacks,Drinks,Fatigue,RPE_Physical,RPE_Mental,Good_stress,Bad_stress
10/5/22,Front Quad (Left),umi8c47fk1yeu1cq,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
10/5/22,Front Quad (Right),umi8c47fk1yeu1cq,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
10/5/22,,umi8c47fk1yeu1cq,NA,NA,9,3,3,7,5,7,7,5,6
10/5/22,Front body_map_quad_left,umi8c47fk1yeu1cq,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
10/5/22,Front body_map_quad_right,umi8c47fk1yeu1cq,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
10/6/22,Back Calf (Left),umi8c47fk1yeu1cq,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
10/6/22,,umi8c47fk1yeu1cq,NA,NA,8,3,3,7,6,8,5,5,6
10/6/22,Back body_map_calf_left,umi8c47fk1yeu1cq,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
10/7/22,,umi8c47fk1yeu1cq,NA,NA,10,3,3,6,3,4,0,4,7
10/8/22,,umi8c47fk1yeu1cq,NA,NA,9,3,3,7,5,5,8,5,8
10/9/22,,umi8c47fk1yeu1cq,NA,NA,8,3,3,7,8,7,3,5,6
10/10/22,,umi8c47fk1yeu1cq,NA,NA,9,3,4,7,4,5,5,3,6
10/11/22,,umi8c47fk1yeu1cq,NA,NA,8,3,3,5,5,6,8,4,8
10/12/22,,umi8c47fk1yeu1cq,NA,NA,8,4,3,5,5,5,5,5,8
10/13/22,,umi8c47fk1yeu1cq,NA,NA,8,3,4,5,5,6,5,5,7
10/14/22,,umi8c47fk1yeu1cq,NA,NA,9,4,4,6,3,4,7,5,6
10/15/22,,umi8c47fk1yeu1cq,NA,NA,9,3,4,8,7,8,9,8,4
10/16/22,,umi8c47fk1yeu1cq,NA,NA,7,3,3,7,5,5,5,4,4
10/17/22,,umi8c47fk1yeu1cq,NA,NA,8,3,3,6,3,1,5,3,6
10/18/22,,umi8c47fk1yeu1cq,NA,NA,8,3,3,6,3,4,10,3,5
10/19/22,,umi8c47fk1yeu1cq,NA,NA,7,3,3,5,5,9,3,4,5
10/20/22,,umi8c47fk1yeu1cq,NA,NA,9,4,3,5,4,4,5,5,5
10/21/22,,umi8c47fk1yeu1cq,NA,NA,9,3,4,5,3,3,0,4,4
10/22/22,,umi8c47fk1yeu1cq,NA,NA,5,3,3,8,6,3,4,3,7
10/23/22,,umi8c47fk1yeu1cq,NA,NA,8,3,4,5,4,5,0,5,4
10/24/22,,umi8c47fk1yeu1cq,NA,NA,8,3,3,6,3,5,2,5,5
10/25/22,,umi8c47fk1yeu1cq,NA,NA,8,3,4,6,0,5,5,3,4
10/26/22,,umi8c47fk1yeu1cq,NA,NA,8,3,4,4,5,4,3,4,6
10/27/22,,umi8c47fk1yeu1cq,NA,NA,8,4,3,5,5,4,7,5,5
10/29/22,,umi8c47fk1yeu1cq,NA,NA,9,3,3,5,5,4,8,6,6
10/30/22,,umi8c47fk1yeu1cq,NA,NA,8,4,3,5,4,5,3,6,5
10/31/22,,umi8c47fk1yeu1cq,NA,NA,9,3,3,5,4,5,5,5,4
8/3/22,,9uv4ji1ut2tiisd0,NA,NA,7,3,2,3,0,0,0,0,0
8/4/22,,9uv4ji1ut2tiisd0,NA,NA,8,3,3,4,2,4,3,0,0
8/5/22,,9uv4ji1ut2tiisd0,NA,NA,8,3,3,3,0,0,0,0,0
8/6/22,,9uv4ji1ut2tiisd0,NA,NA,7,3,3,3,0,3,3,0,0
8/6/22,Back Posterior Hip (Left),9uv4ji1ut2tiisd0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/6/22,Back Posterior Hip (Right),9uv4ji1ut2tiisd0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/6/22,Back body_map_posterior_hip_left,9uv4ji1ut2tiisd0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/6/22,Back body_map_posterior_hip_right,9uv4ji1ut2tiisd0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/9/22,,9uv4ji1ut2tiisd0,NA,NA,7,3,3,4,0,0,0,0,0
8/10/22,,9uv4ji1ut2tiisd0,NA,NA,7,3,3,4,0,3,4,0,0
8/10/22,Front Anterior Hip / Groin / Adductors (Left),9uv4ji1ut2tiisd0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/10/22,Front body_map_anterior_hip_groin_adductors_left,9uv4ji1ut2tiisd0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/11/22,,9uv4ji1ut2tiisd0,NA,NA,7,3,3,4,0,0,0,0,0
8/11/22,Front Anterior Hip / Groin / Adductors (Left),9uv4ji1ut2tiisd0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/11/22,Front body_map_anterior_hip_groin_adductors_left,9uv4ji1ut2tiisd0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/12/22,,9uv4ji1ut2tiisd0,NA,NA,8,3,3,4,0,0,0,0,0
8/12/22,Front Anterior Hip / Groin / Adductors (Left),9uv4ji1ut2tiisd0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/12/22,Front body_map_anterior_hip_groin_adductors_left,9uv4ji1ut2tiisd0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/13/22,,9uv4ji1ut2tiisd0,NA,NA,9,3,3,4,0,0,0,0,0
8/13/22,Front Anterior Hip / Groin / Adductors (Left),9uv4ji1ut2tiisd0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/13/22,Front body_map_anterior_hip_groin_adductors_left,9uv4ji1ut2tiisd0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/15/22,,9uv4ji1ut2tiisd0,NA,NA,7,3,3,3,0,0,0,0,0
8/15/22,Front Quad (Left),9uv4ji1ut2tiisd0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/15/22,Front Quad (Right),9uv4ji1ut2tiisd0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/15/22,Front body_map_quad_left,9uv4ji1ut2tiisd0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/15/22,Front body_map_quad_right,9uv4ji1ut2tiisd0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/16/22,,9uv4ji1ut2tiisd0,NA,NA,8,3,3,3,2,3,1,0,0
8/16/22,Back Calf (Left),9uv4ji1ut2tiisd0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/16/22,Back Calf (Right),9uv4ji1ut2tiisd0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/16/22,Back body_map_calf_left,9uv4ji1ut2tiisd0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/16/22,Back body_map_calf_right,9uv4ji1ut2tiisd0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/17/22,,9uv4ji1ut2tiisd0,NA,NA,8,3,4,4,0,3,0,0,0
8/17/22,Front Quad (Left),9uv4ji1ut2tiisd0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/17/22,Front Quad (Right),9uv4ji1ut2tiisd0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/17/22,Front body_map_quad_left,9uv4ji1ut2tiisd0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/17/22,Front body_map_quad_right,9uv4ji1ut2tiisd0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/18/22,,9uv4ji1ut2tiisd0,NA,NA,8,3,3,4,5,5,2,0,0
8/18/22,Back Calf (Left),9uv4ji1ut2tiisd0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/18/22,Back Calf (Right),9uv4ji1ut2tiisd0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/18/22,Back Hamstring (Left),9uv4ji1ut2tiisd0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/18/22,Back Hamstring (Right),9uv4ji1ut2tiisd0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/18/22,Back Posterior Hip (Left),9uv4ji1ut2tiisd0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/18/22,Back Posterior Hip (Right),9uv4ji1ut2tiisd0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/18/22,Back body_map_calf_left,9uv4ji1ut2tiisd0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/18/22,Back body_map_calf_right,9uv4ji1ut2tiisd0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/18/22,Back body_map_hamstring_left,9uv4ji1ut2tiisd0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/18/22,Back body_map_hamstring_right,9uv4ji1ut2tiisd0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/18/22,Back body_map_posterior_hip_left,9uv4ji1ut2tiisd0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/18/22,Back body_map_posterior_hip_right,9uv4ji1ut2tiisd0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/19/22,,9uv4ji1ut2tiisd0,NA,NA,9,3,3,5,1,3,0,0,0
8/19/22,Back Posterior Hip (Left),9uv4ji1ut2tiisd0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/19/22,Back Posterior Hip (Right),9uv4ji1ut2tiisd0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/19/22,Front Quad (Left),9uv4ji1ut2tiisd0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/19/22,Front Quad (Right),9uv4ji1ut2tiisd0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/19/22,Back body_map_posterior_hip_left,9uv4ji1ut2tiisd0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/19/22,Back body_map_posterior_hip_right,9uv4ji1ut2tiisd0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/19/22,Front body_map_quad_left,9uv4ji1ut2tiisd0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/19/22,Front body_map_quad_right,9uv4ji1ut2tiisd0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/20/22,,9uv4ji1ut2tiisd0,NA,NA,9,4,3,7,6,7,3,0,0
8/20/22,Back Hamstring (Left),9uv4ji1ut2tiisd0,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/20/22,Back Hamstring (Right),9uv4ji1ut2tiisd0,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/20/22,Back Posterior Hip (Left),9uv4ji1ut2tiisd0,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/20/22,Back Posterior Hip (Right),9uv4ji1ut2tiisd0,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/20/22,Front Quad (Left),9uv4ji1ut2tiisd0,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/20/22,Front Quad (Right),9uv4ji1ut2tiisd0,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/20/22,Back body_map_hamstring_left,9uv4ji1ut2tiisd0,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/20/22,Back body_map_hamstring_right,9uv4ji1ut2tiisd0,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/20/22,Back body_map_posterior_hip_left,9uv4ji1ut2tiisd0,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/20/22,Back body_map_posterior_hip_right,9uv4ji1ut2tiisd0,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/20/22,Front body_map_quad_left,9uv4ji1ut2tiisd0,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/20/22,Front body_map_quad_right,9uv4ji1ut2tiisd0,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/21/22,,9uv4ji1ut2tiisd0,NA,NA,8,3,3,3,2,0,0,0,0
8/21/22,Back Posterior Hip (Left),9uv4ji1ut2tiisd0,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/21/22,Back Posterior Hip (Right),9uv4ji1ut2tiisd0,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/21/22,Back body_map_posterior_hip_left,9uv4ji1ut2tiisd0,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/21/22,Back body_map_posterior_hip_right,9uv4ji1ut2tiisd0,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/22/22,,9uv4ji1ut2tiisd0,NA,NA,7,3,3,4,4,0,0,0,0
8/22/22,Back Posterior Hip (Left),9uv4ji1ut2tiisd0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/22/22,Back Posterior Hip (Right),9uv4ji1ut2tiisd0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/22/22,Back body_map_posterior_hip_left,9uv4ji1ut2tiisd0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/22/22,Back body_map_posterior_hip_right,9uv4ji1ut2tiisd0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/23/22,,9uv4ji1ut2tiisd0,NA,NA,8,3,3,3,2,0,4,0,0
8/23/22,Back Posterior Hip (Left),9uv4ji1ut2tiisd0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/23/22,Back Posterior Hip (Right),9uv4ji1ut2tiisd0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/23/22,Back body_map_posterior_hip_left,9uv4ji1ut2tiisd0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/23/22,Back body_map_posterior_hip_right,9uv4ji1ut2tiisd0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/24/22,,9uv4ji1ut2tiisd0,NA,NA,8,3,3,4,2,4,3,0,0
8/24/22,Back Posterior Hip (Left),9uv4ji1ut2tiisd0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/24/22,Back Posterior Hip (Right),9uv4ji1ut2tiisd0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/24/22,Back body_map_posterior_hip_left,9uv4ji1ut2tiisd0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/24/22,Back body_map_posterior_hip_right,9uv4ji1ut2tiisd0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/25/22,,9uv4ji1ut2tiisd0,NA,NA,9,3,4,5,1,2,3,0,0
8/25/22,Back Posterior Hip (Left),9uv4ji1ut2tiisd0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/25/22,Back Posterior Hip (Right),9uv4ji1ut2tiisd0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/25/22,Back body_map_posterior_hip_left,9uv4ji1ut2tiisd0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/25/22,Back body_map_posterior_hip_right,9uv4ji1ut2tiisd0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/28/22,,9uv4ji1ut2tiisd0,NA,NA,8,3,3,4,2,7,4,0,0
8/29/22,,9uv4ji1ut2tiisd0,NA,NA,9,3,4,5,0,3,3,0,0
8/30/22,,9uv4ji1ut2tiisd0,NA,NA,8,4,5,5,6,6,6,2,1
8/30/22,Back Calf (Left),9uv4ji1ut2tiisd0,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/30/22,Back Calf (Right),9uv4ji1ut2tiisd0,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/30/22,Back Foot / Ankle (Left),9uv4ji1ut2tiisd0,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/30/22,Back Posterior Hip (Left),9uv4ji1ut2tiisd0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/30/22,Back Posterior Hip (Right),9uv4ji1ut2tiisd0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/30/22,Front Quad (Left),9uv4ji1ut2tiisd0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/30/22,Front Quad (Right),9uv4ji1ut2tiisd0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/30/22,Back body_map_calf_left,9uv4ji1ut2tiisd0,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/30/22,Back body_map_calf_right,9uv4ji1ut2tiisd0,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/30/22,Back body_map_foot_ankle_left,9uv4ji1ut2tiisd0,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/30/22,Back body_map_posterior_hip_left,9uv4ji1ut2tiisd0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/30/22,Back body_map_posterior_hip_right,9uv4ji1ut2tiisd0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/30/22,Front body_map_quad_left,9uv4ji1ut2tiisd0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/30/22,Front body_map_quad_right,9uv4ji1ut2tiisd0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/1/22,,9uv4ji1ut2tiisd0,NA,NA,8,3,3,4,2,0,0,3,1
9/1/22,Back Calf (Left),9uv4ji1ut2tiisd0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/1/22,Back Calf (Right),9uv4ji1ut2tiisd0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/1/22,Back body_map_calf_left,9uv4ji1ut2tiisd0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/1/22,Back body_map_calf_right,9uv4ji1ut2tiisd0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/5/22,,9uv4ji1ut2tiisd0,NA,NA,9,3,4,5,0,1,1,2,1
9/5/22,Back Foot / Ankle (Left),9uv4ji1ut2tiisd0,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/5/22,Back body_map_foot_ankle_left,9uv4ji1ut2tiisd0,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/6/22,,9uv4ji1ut2tiisd0,NA,NA,8,4,4,6,2,7,3,3,2
9/6/22,Back Foot / Ankle (Left),9uv4ji1ut2tiisd0,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/6/22,Front Core,9uv4ji1ut2tiisd0,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/6/22,Front Neck,9uv4ji1ut2tiisd0,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/6/22,Back body_map_foot_ankle_left,9uv4ji1ut2tiisd0,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/6/22,Front body_map_core,9uv4ji1ut2tiisd0,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/6/22,Front body_map_neck,9uv4ji1ut2tiisd0,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/7/22,,9uv4ji1ut2tiisd0,NA,NA,7,3,3,4,2,0,0,0,0
9/7/22,Back Foot / Ankle (Left),9uv4ji1ut2tiisd0,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/7/22,Back body_map_foot_ankle_left,9uv4ji1ut2tiisd0,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
